Title,Description,Priority,Status,Assignee
Project Setup & Architecture,"Set up the Xcode project foundation with SwiftUI lifecycle (iOS 17+), configure SwiftData, establish MVVM folder structure, add SwiftLint, configure Debug/Release build schemes, environment variable handling for API keys.",Urgent,Backlog,Shiv
Design System & Theme,"Implement Pearl's cosmic void aesthetic: Color system (void #0A0A0F, gold #C9A84C), Cormorant Garamond + DM Sans typography, animated starfield background, ✦ diamond motif, PearlButton/PearlCard/GlowModifier/ShimmerModifier components. Dark-first design.",High,Backlog,Shiv
Onboarding Flow — Birth Data Collection,"Build mystical onboarding: WelcomeStep ('I've been waiting for you'), BirthDateStep, BirthTimeStep ('I don't know' option), BirthLocationStep (MapKit MKLocalSearchCompleter), GeneratingStep (animated cosmic rings), FirstReadingStep (Pearl's first reading). Progress indicator with ✦ markers.",Urgent,Backlog,Shiv
Cosmic Blueprint Dashboard,"Display complete cosmic profile: ZodiacWheelView (animated natal chart), planetary positions with sign/house/degree, Human Design summary (type/strategy/authority/profile), wisdom traditions cards, pull-to-refresh, tap for detail views.",High,Backlog,Shiv
Pearl Chat Interface,"Conversational UI: Chat bubbles (Pearl left/gold, User right), typing indicator with animated dots, suggestion chips, streaming message display (word-by-word), message input with send button, auto-scroll, new conversation support, keyboard avoidance.",Urgent,Backlog,Shiv
Pearl Voice Engine & LLM Integration,"Claude API integration with streaming (URLSession + AsyncBytes), Pearl's timeless oracle system prompt, context injection (birth data + cosmic blueprint + history), first reading + weekly insight generation, token management, conversation truncation, error handling, rate limiting for free tier.",Urgent,Backlog,Shiv
Astrological Calculation Engine,"Natal chart calculations: Julian Day Number conversion, planetary positions (Sun through Pluto), zodiac sign from ecliptic longitude, Placidus house system, aspect detection (conjunction/opposition/trine/square/sextile), Rising sign from lat/lon/time. Simplified for MVP; Swiss Ephemeris for production.",High,Backlog,Shiv
Human Design Profile Generator,"Calculate HD profile: 64 I Ching gate mapping across zodiac, personality gates (birth) + design gates (88 days prior), channel detection, center definition (9 centers), type determination (Generator/Manifestor/Projector/MG/Reflector), strategy/authority derivation, profile lines from Sun gate.",High,Backlog,Shiv
Weekly Insight Delivery System,"Personalized weekly cosmic insights: weekly insight model with transit data + Pearl's interpretation, InsightsView timeline, InsightDetailView with cosmic background, background generation via PearlEngine, local notification scheduling, archive/bookmark.",Normal,Backlog,Shiv
User Authentication & Profile Management,"Sign in with Apple (ASAuthorizationController), Keychain credential storage, SwiftData UserProfile model, profile editing (birth data correction), account deletion, anonymous mode for onboarding (auth after first reading).",High,Backlog,Shiv
Memory & Conversation History,"Pearl remembers conversations: SwiftData Conversation + ChatMessage models, conversation list with timestamps/previews, message persistence across launches, context window management for Claude API, conversation search, export as text.",Normal,Backlog,Shiv
App Store Preparation & Launch,"App Store readiness: app icon (cosmic void + gold ✦), launch screen, screenshots + preview video, privacy policy + ToS, App Store metadata, TestFlight beta setup, StoreKit 2 premium subscription (monthly $15.99 / yearly $99.99), review guidelines compliance.",Low,Backlog,Shiv
